k,method,condition,layer,MSE,RMSE,MAE,MAPE,R2,Precision_at_K,MRR
5,RF,N/A,N/A,98.79008161806654,9.939319977647694,5.192177783283069,12.719627369032782,0.7758780025229111,0.2,0.26035714285714284
5,Pearson,N/A,N/A,86.27464448807359,9.288414530374578,4.657287564805759,11.619146457931222,0.8042713869895555,0.2,0.13704255094498996
10,Univariate,N/A,N/A,96.84288816717365,9.840878424570322,5.293206711142129,13.889285931657316,0.7802955399774869,,
10,Geographic,N/A,N/A,84.31024654595801,9.18206112732637,4.699133867296272,11.66798858788068,0.808727955740343,0.1,0.09503309692671394
10,Mean_Pooling,raw,6,85.55721988699716,9.249714584082968,4.72033807576357,11.68882364859603,0.8058989859549464,0.1,0.08985055724417426
10,Lagged_CKA,raw,6,85.30522989420508,9.236083038507454,4.507845761494587,11.209350991451137,0.8064706678445023,0.1,0.08720026840327592
10,Soft_DTW_g1.0,raw,6,88.60639648646321,9.413097071977067,4.682761313818855,11.373728998099415,0.7989814134725712,0.1,0.12973819830962688
10,Mean_Pooling,whitened,6,89.82188450520769,9.477440820453994,4.918379898821539,12.096363187635186,0.7962238734623941,0.0,0.04362708719851577
10,Lagged_CKA,whitened,6,95.02805482946115,9.748233420956904,5.197202338267369,12.690038493202707,0.7844127961440387,0.2,0.24615359477124182
10,Soft_DTW_g1.0,whitened,6,90.76439362435065,9.527034881029389,5.036056037907508,12.191721925762506,0.7940856322243784,0.2,0.11666513155874858
10,Mean_Pooling,raw,8,89.75121319093488,9.473711690300421,4.843715293459863,12.103728892701483,0.7963842032835637,0.1,0.07001676032731932
10,Lagged_CKA,raw,8,89.5615351050839,9.463695636752268,4.693349029517612,11.83214320665819,0.7968145200803745,0.1,0.09664910813823857
10,Soft_DTW_g1.0,raw,8,85.02916374780015,9.221125947941507,4.618385250231335,11.556627728064845,0.8070969705578382,0.1,0.12866286537382882
10,Mean_Pooling,whitened,8,87.03652731612893,9.32933691728029,4.747071398927813,11.541556363924668,0.8025429270220112,0.1,0.08550153081208982
10,Lagged_CKA,whitened,8,96.90772286463844,9.84417202534771,5.601639177130155,13.666310702839466,0.780148451508041,0.1,0.1259913732518097
10,Soft_DTW_g1.0,whitened,8,90.76439362435065,9.527034881029389,5.036056037907508,12.191721925762506,0.7940856322243784,0.2,0.11705182072829132
10,Mean_Pooling,raw,10,88.43049323245927,9.403748892460882,4.717650363468342,11.47383044875846,0.799380479735139,0.1,0.09040978093365006
10,Lagged_CKA,raw,10,88.26365048915014,9.394873628162868,5.246131340598941,12.632162001862724,0.799758990697804,0.2,0.112987012987013
10,Soft_DTW_g1.0,raw,10,85.5529110446825,9.2494816635681,4.588380773347589,11.378442458547788,0.8059087612920102,0.1,0.12866286537382882
10,Mean_Pooling,whitened,10,92.37490941810077,9.61118668105561,5.002567790240119,12.328389228089021,0.7904319049396986,0.0,0.03693085930024183
10,Lagged_CKA,whitened,10,104.26642446021856,10.211093205931409,5.988073290693961,14.316205460420173,0.7634539931836171,0.1,0.13417888563049854
10,Soft_DTW_g1.0,whitened,10,88.55168200593754,9.410190327827463,4.846093817202446,11.914022349775168,0.7991055425193894,0.2,0.09956349206349205
10,Lasso,N/A,N/A,86.5937110719222,9.305574193563888,4.582115353181498,11.74002232330073,0.8035475305160199,0.1,0.22730846930846932
10,RF,N/A,N/A,99.40342544369162,9.970126651336562,5.2400541367114855,13.170812697036837,0.7744865283881818,0.2,0.26035714285714284
10,Pearson,N/A,N/A,85.99892682025354,9.273560633341088,4.605542314336027,11.545659150717393,0.8048968991203224,0.1,0.13704255094498996
20,Univariate,N/A,N/A,96.84288816717365,9.840878424570322,5.293206711142129,13.889285931657316,0.7802955399774869,,
20,Geographic,N/A,N/A,85.27408737804893,9.234396968836077,4.80976941838855,11.606125106394655,0.806541319906056,0.1,0.09503309692671394
20,Mean_Pooling,raw,6,85.6013000263782,9.252097061011531,4.650180408503103,11.342435726635424,0.8057989827084125,0.1,0.08985055724417426
20,Lagged_CKA,raw,6,88.96893550763323,9.43233457356307,4.655242296291936,11.574152377200386,0.7981589324273369,0.05,0.08720026840327592
20,Soft_DTW_g1.0,raw,6,88.66871057864891,9.416406457808037,4.7331515235463515,11.85021962347983,0.7988400434222294,0.1,0.12973819830962688
20,Mean_Pooling,whitened,6,90.3342490158594,9.504433124382505,4.639529815163569,11.310275565996285,0.7950614879710289,0.1,0.04362708719851577
20,Lagged_CKA,whitened,6,94.21984053528169,9.706690503734096,5.380133962750659,12.785430949627871,0.7862463668733487,0.15,0.24615359477124182
20,Soft_DTW_g1.0,whitened,6,88.45383986884318,9.404990157828086,4.80852784066909,11.536390012820164,0.7993275139444945,0.15,0.11666513155874858
20,Mean_Pooling,raw,8,81.39919149082175,9.022150048121665,4.536913756950552,11.070717593531127,0.8153321761543446,0.05,0.07001676032731932
20,Lagged_CKA,raw,8,91.40100043979997,9.560387044455886,4.989887808140698,12.633634905131302,0.792641382065363,0.1,0.09664910813823857
20,Soft_DTW_g1.0,raw,8,94.18902498308204,9.705103038251682,5.007476093757734,12.431328180020675,0.7863162771619043,0.1,0.12866286537382882
20,Mean_Pooling,whitened,8,85.93807780671307,9.270279273393713,4.719974632000859,11.538882021903717,0.8050349453921326,0.05,0.08550153081208982
20,Lagged_CKA,whitened,8,91.10711048618704,9.545004478060083,5.175918607245181,12.626693702650455,0.793308121097899,0.05,0.1259913732518097
20,Soft_DTW_g1.0,whitened,8,91.24124057620247,9.552028087071482,4.939720331994224,12.080200862117096,0.7930038243182662,0.15,0.11705182072829132
20,Mean_Pooling,raw,10,82.69815598057042,9.093852647836913,4.523837946596422,11.30412880179132,0.8123852556606476,0.05,0.09040978093365006
20,Lagged_CKA,raw,10,88.00939243240656,9.381332124618899,4.86542442018172,12.057587925415731,0.8003358180737781,0.15,0.112987012987013
20,Soft_DTW_g1.0,raw,10,91.23260053811356,9.551575814393852,4.960764893855019,12.568784220236589,0.7930234257049951,0.1,0.12866286537382882
20,Mean_Pooling,whitened,10,90.22503647713052,9.49868603950728,4.864081240539744,11.371371160719548,0.7953092550740473,0.05,0.03693085930024183
20,Lagged_CKA,whitened,10,93.82236034528064,9.686194316927606,5.064281560444236,12.296295008601724,0.7871481178657714,0.1,0.13417888563049854
20,Soft_DTW_g1.0,whitened,10,87.81881512516178,9.371169357404751,5.031341423783854,12.66297235133459,0.8007681749063054,0.15,0.09956349206349205
20,Lasso,N/A,N/A,86.67267120365774,9.309815852295777,4.60974379295259,11.91945296889829,0.8033683961114747,0.05,0.22730846930846932
20,RF,N/A,N/A,91.97930513445428,9.590584191510665,5.014009340880708,12.297303661470758,0.7913294001214936,0.15,0.26035714285714284
20,Pearson,N/A,N/A,88.10824724195534,9.386599343849472,4.887367142134156,12.37827291123831,0.8001115492300499,0.15,0.13704255094498996
30,Univariate,N/A,N/A,96.84288816717365,9.840878424570322,5.293206711142129,13.889285931657316,0.7802955399774869,,
30,Geographic,N/A,N/A,93.44487812184221,9.66668909823018,5.116437068839269,12.46377044586705,0.7880045000910255,0.1,0.09503309692671394
30,Mean_Pooling,raw,6,84.10940202920654,9.17111781786749,4.809238361098724,11.63388293307809,0.8091836054729821,0.06666666666666667,0.08985055724417426
30,Lagged_CKA,raw,6,90.99621292534556,9.539193515457455,4.948492757750107,12.06593484714373,0.7935597109583794,0.03333333333333333,0.08720026840327592
30,Soft_DTW_g1.0,raw,6,93.4415258327613,9.666515702814603,4.9426757312879195,12.538546584269735,0.7880121053254036,0.06666666666666667,0.12973819830962688
30,Mean_Pooling,whitened,6,87.67359811281119,9.363418078501631,4.923032567721192,11.851804606440437,0.8010976242431477,0.06666666666666667,0.04362708719851577
30,Lagged_CKA,whitened,6,94.43726172621948,9.717883603245074,5.521048347556659,13.27906299530114,0.7857531101535576,0.13333333333333333,0.24615359477124182
30,Soft_DTW_g1.0,whitened,6,93.69487953301913,9.679611538332473,5.254985209807876,12.786178891937409,0.7874373296349702,0.1,0.11666513155874858
30,Mean_Pooling,raw,8,87.15905238717438,9.33590126271558,4.791432321472599,11.801493213845816,0.8022649581893717,0.06666666666666667,0.07001676032731932
30,Lagged_CKA,raw,8,95.34731350996465,9.764594897381286,5.197458313166561,12.511446618229135,0.7836885038667737,0.06666666666666667,0.09664910813823857
30,Soft_DTW_g1.0,raw,8,91.78694369225055,9.580550281286067,4.917956918445302,12.135820995640403,0.7917658045657266,0.06666666666666667,0.12866286537382882
